,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,AgeBin
121,PHD,2015,New Delhi,3,26,Male,No,4,0,"(25, 30]"
122,Bachelors,2015,New Delhi,3,25,Female,No,3,0,"(20, 25]"
123,Bachelors,2012,Bangalore,3,26,Male,No,4,1,"(25, 30]"
124,Bachelors,2014,Bangalore,3,28,Female,No,3,0,"(25, 30]"
125,Masters,2014,Pune,3,24,Male,No,2,0,"(20, 25]"
126,Bachelors,2013,Bangalore,3,28,Male,No,1,0,"(25, 30]"
127,Bachelors,2015,Pune,3,27,Male,No,5,0,"(25, 30]"
128,Bachelors,2018,Bangalore,3,25,Male,No,3,1,"(20, 25]"
129,Masters,2013,Pune,1,24,Male,No,2,1,"(20, 25]"
130,Bachelors,2017,Bangalore,3,26,Female,No,4,0,"(25, 30]"
131,Bachelors,2013,Bangalore,3,28,Male,No,1,1,"(25, 30]"
132,Masters,2016,New Delhi,3,27,Male,No,5,0,"(25, 30]"
133,Masters,2017,Bangalore,3,26,Male,No,4,0,"(25, 30]"
134,Masters,2017,New Delhi,2,24,Male,No,2,0,"(20, 25]"
135,Masters,2018,New Delhi,3,26,Male,No,4,1,"(25, 30]"
136,Masters,2017,New Delhi,1,25,Female,No,3,1,"(20, 25]"
137,Bachelors,2012,Pune,3,28,Male,No,2,0,"(25, 30]"
138,Bachelors,2017,New Delhi,3,28,Male,No,2,0,"(25, 30]"
139,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
140,Masters,2013,New Delhi,3,27,Male,No,5,1,"(25, 30]"
141,Bachelors,2017,Pune,2,24,Female,No,2,1,"(20, 25]"
142,Bachelors,2017,New Delhi,3,28,Female,No,2,0,"(25, 30]"
143,Bachelors,2016,Bangalore,3,26,Male,No,4,0,"(25, 30]"
144,Bachelors,2013,Bangalore,3,27,Female,No,5,0,"(25, 30]"
145,Masters,2015,Pune,2,28,Female,No,3,0,"(25, 30]"
146,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
147,Bachelors,2016,Pune,3,28,Male,No,1,0,"(25, 30]"
148,Masters,2013,Bangalore,1,25,Male,No,3,1,"(20, 25]"
149,Bachelors,2015,Pune,3,26,Male,No,4,0,"(25, 30]"
150,Bachelors,2018,New Delhi,3,27,Female,No,5,1,"(25, 30]"
151,Bachelors,2016,Bangalore,3,24,Male,No,2,1,"(20, 25]"
152,Bachelors,2012,Pune,2,24,Female,No,2,1,"(20, 25]"
153,Bachelors,2014,Bangalore,3,26,Male,No,4,0,"(25, 30]"
154,Bachelors,2016,Pune,2,24,Female,No,2,1,"(20, 25]"
155,Masters,2012,New Delhi,3,26,Female,No,4,0,"(25, 30]"
156,Bachelors,2013,Bangalore,3,28,Female,No,3,0,"(25, 30]"
157,Bachelors,2012,Bangalore,3,24,Male,No,2,1,"(20, 25]"
158,Bachelors,2015,Bangalore,3,25,Male,No,3,1,"(20, 25]"
159,Bachelors,2016,Bangalore,3,28,Male,No,3,0,"(25, 30]"
160,Bachelors,2014,Bangalore,3,28,Female,No,3,0,"(25, 30]"
161,Bachelors,2013,Bangalore,3,26,Female,No,4,0,"(25, 30]"
162,Masters,2017,New Delhi,3,24,Female,No,2,1,"(20, 25]"
163,Bachelors,2016,Bangalore,3,25,Male,No,3,1,"(20, 25]"
164,Bachelors,2015,Bangalore,3,25,Male,No,3,0,"(20, 25]"
165,Bachelors,2014,Bangalore,3,27,Male,No,5,0,"(25, 30]"
166,Bachelors,2012,Bangalore,3,24,Male,No,2,0,"(20, 25]"
167,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
168,Bachelors,2015,Bangalore,3,28,Male,No,3,0,"(25, 30]"
169,Masters,2015,New Delhi,3,26,Male,No,4,1,"(25, 30]"
170,Bachelors,2014,New Delhi,3,28,Female,No,1,0,"(25, 30]"
171,Bachelors,2015,Pune,3,25,Male,No,3,0,"(20, 25]"
172,Masters,2015,Pune,2,28,Female,No,2,0,"(25, 30]"
173,Bachelors,2014,Bangalore,3,27,Female,No,5,0,"(25, 30]"
174,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
175,Bachelors,2016,Bangalore,3,26,Male,No,4,0,"(25, 30]"
176,Bachelors,2012,Bangalore,3,25,Male,No,3,0,"(20, 25]"
177,Bachelors,2015,Bangalore,3,25,Male,No,3,0,"(20, 25]"
178,Bachelors,2014,New Delhi,3,24,Female,No,2,0,"(20, 25]"
179,Bachelors,2012,Bangalore,3,27,Male,No,5,1,"(25, 30]"
180,Masters,2017,New Delhi,3,27,Male,No,5,1,"(25, 30]"
181,Bachelors,2015,Pune,3,27,Male,No,5,0,"(25, 30]"
182,Bachelors,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
183,Masters,2017,New Delhi,3,27,Male,No,5,1,"(25, 30]"
184,Masters,2017,New Delhi,2,28,Female,No,1,1,"(25, 30]"
185,Masters,2017,Pune,2,24,Male,No,2,1,"(20, 25]"
186,Masters,2016,New Delhi,3,25,Female,No,3,1,"(20, 25]"
187,PHD,2015,New Delhi,3,28,Female,No,1,0,"(25, 30]"
188,Bachelors,2017,New Delhi,2,26,Male,No,4,0,"(25, 30]"
189,Bachelors,2013,Bangalore,2,27,Male,No,5,0,"(25, 30]"
190,Bachelors,2015,Bangalore,3,26,Male,No,4,0,"(25, 30]"
191,Bachelors,2015,Bangalore,3,26,Male,No,4,0,"(25, 30]"
192,Bachelors,2013,Bangalore,3,28,Male,No,1,0,"(25, 30]"
193,Bachelors,2015,Bangalore,3,27,Female,No,5,0,"(25, 30]"
194,Bachelors,2013,New Delhi,3,25,Female,No,3,0,"(20, 25]"
195,Bachelors,2013,Pune,3,28,Male,No,1,0,"(25, 30]"
196,Bachelors,2017,Pune,3,24,Male,No,2,0,"(20, 25]"
197,Bachelors,2013,New Delhi,3,27,Female,No,5,0,"(25, 30]"
198,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,"(25, 30]"
199,Bachelors,2015,Pune,3,28,Male,No,3,0,"(25, 30]"
200,Bachelors,2014,Pune,2,25,Female,No,3,1,"(20, 25]"
201,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
202,Bachelors,2017,Bangalore,3,27,Male,No,5,0,"(25, 30]"
203,Bachelors,2014,Pune,2,26,Female,No,4,1,"(25, 30]"
204,PHD,2013,New Delhi,3,24,Male,No,2,0,"(20, 25]"
205,Bachelors,2015,Pune,2,26,Female,No,4,1,"(25, 30]"
206,Bachelors,2017,Bangalore,3,25,Male,No,3,0,"(20, 25]"
207,Masters,2013,Pune,2,27,Male,No,5,1,"(25, 30]"
208,Masters,2017,Bangalore,3,28,Male,No,2,0,"(25, 30]"
209,Bachelors,2012,Bangalore,3,25,Male,No,3,1,"(20, 25]"
210,Bachelors,2017,Bangalore,3,27,Male,No,5,0,"(25, 30]"
211,Masters,2017,Pune,2,27,Female,No,5,0,"(25, 30]"
212,Masters,2013,Bangalore,2,28,Female,No,2,1,"(25, 30]"
213,Masters,2017,Pune,3,28,Male,No,1,1,"(25, 30]"
214,Bachelors,2018,Bangalore,3,27,Female,No,5,1,"(25, 30]"
215,Bachelors,2014,New Delhi,3,25,Female,No,3,0,"(20, 25]"
216,Masters,2017,New Delhi,3,27,Male,No,5,1,"(25, 30]"
217,Masters,2013,New Delhi,3,26,Male,No,4,1,"(25, 30]"
218,Bachelors,2013,Pune,2,25,Female,No,3,1,"(20, 25]"
219,Masters,2012,New Delhi,3,26,Male,No,4,1,"(25, 30]"
220,Bachelors,2016,Bangalore,3,25,Male,No,3,1,"(20, 25]"
221,Bachelors,2013,Pune,2,26,Male,No,4,0,"(25, 30]"
222,Bachelors,2018,Bangalore,3,28,Female,No,2,1,"(25, 30]"
223,Bachelors,2013,Bangalore,3,27,Male,No,5,0,"(25, 30]"
224,Bachelors,2015,Pune,1,24,Female,Yes,2,1,"(20, 25]"
225,Bachelors,2013,Pune,3,28,Male,No,2,0,"(25, 30]"
226,Bachelors,2015,Pune,2,27,Female,Yes,5,1,"(25, 30]"
227,Bachelors,2018,Bangalore,3,25,Male,No,3,1,"(20, 25]"
228,Bachelors,2014,Pune,2,27,Female,No,5,1,"(25, 30]"
229,Bachelors,2013,Pune,3,24,Male,No,2,0,"(20, 25]"
230,Bachelors,2014,Pune,3,24,Male,No,2,0,"(20, 25]"
231,PHD,2015,New Delhi,2,25,Female,No,3,0,"(20, 25]"
232,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,"(25, 30]"
233,Bachelors,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
234,Masters,2015,Pune,2,25,Female,No,3,0,"(20, 25]"
235,Bachelors,2015,Bangalore,3,24,Male,No,2,0,"(20, 25]"
236,Bachelors,2014,New Delhi,3,24,Female,No,2,0,"(20, 25]"
237,Masters,2017,Bangalore,2,26,Female,No,4,1,"(25, 30]"
238,Bachelors,2012,New Delhi,3,28,Male,No,1,0,"(25, 30]"
239,Masters,2017,Pune,2,26,Female,No,4,0,"(25, 30]"
240,Bachelors,2016,Pune,3,25,Male,No,3,0,"(20, 25]"
241,Bachelors,2017,New Delhi,3,24,Male,No,2,1,"(20, 25]"
242,Bachelors,2013,Pune,2,28,Female,No,3,1,"(25, 30]"
243,Bachelors,2014,Bangalore,3,25,Female,No,3,1,"(20, 25]"
244,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
245,Bachelors,2014,Pune,2,24,Female,No,2,1,"(20, 25]"
246,Bachelors,2015,Bangalore,3,28,Male,No,2,1,"(25, 30]"
247,Bachelors,2015,Bangalore,3,27,Male,No,5,0,"(25, 30]"
248,Bachelors,2016,Pune,3,26,Male,No,4,0,"(25, 30]"
249,Masters,2015,New Delhi,3,26,Female,No,4,1,"(25, 30]"
250,Bachelors,2016,Bangalore,1,28,Female,No,2,0,"(25, 30]"
251,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,"(20, 25]"
252,Bachelors,2014,Bangalore,3,27,Male,No,5,0,"(25, 30]"
253,Bachelors,2017,Bangalore,3,28,Male,No,2,0,"(25, 30]"
254,Masters,2018,New Delhi,3,24,Female,Yes,2,1,"(20, 25]"
255,Bachelors,2017,Pune,2,25,Male,No,3,0,"(20, 25]"
256,Bachelors,2018,Pune,2,24,Female,No,2,1,"(20, 25]"
257,Masters,2017,New Delhi,2,28,Female,No,1,0,"(25, 30]"
258,Bachelors,2013,New Delhi,1,27,Female,No,5,0,"(25, 30]"
259,Bachelors,2017,New Delhi,2,27,Female,No,5,0,"(25, 30]"
260,Bachelors,2017,Bangalore,3,28,Male,No,1,0,"(25, 30]"
261,Bachelors,2016,Pune,2,27,Female,No,5,1,"(25, 30]"
262,Masters,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
263,Bachelors,2012,Pune,1,26,Male,No,4,0,"(25, 30]"
264,Bachelors,2016,Bangalore,3,26,Male,No,4,0,"(25, 30]"
265,Masters,2016,New Delhi,1,27,Male,No,5,0,"(25, 30]"
266,Bachelors,2015,New Delhi,3,26,Female,No,4,0,"(25, 30]"
267,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,"(25, 30]"
268,Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,"(20, 25]"
269,Bachelors,2018,Bangalore,3,26,Female,No,4,1,"(25, 30]"
270,Masters,2017,Pune,2,26,Female,No,4,1,"(25, 30]"
271,Masters,2017,New Delhi,2,28,Female,No,2,0,"(25, 30]"
272,Bachelors,2013,Pune,3,28,Male,No,1,0,"(25, 30]"
273,Masters,2013,New Delhi,3,25,Male,No,3,0,"(20, 25]"
274,Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,"(25, 30]"
275,Bachelors,2013,Pune,3,27,Female,No,5,1,"(25, 30]"
276,Bachelors,2012,Bangalore,3,25,Male,No,3,0,"(20, 25]"
277,Bachelors,2014,Bangalore,3,28,Male,No,1,0,"(25, 30]"
278,Bachelors,2017,New Delhi,3,28,Female,No,3,0,"(25, 30]"
279,Masters,2017,New Delhi,2,28,Male,Yes,2,0,"(25, 30]"
280,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
281,Masters,2017,New Delhi,3,26,Male,No,4,0,"(25, 30]"
282,Bachelors,2015,Pune,1,25,Female,No,3,1,"(20, 25]"
283,Masters,2013,New Delhi,3,27,Male,No,5,0,"(25, 30]"
284,PHD,2014,Bangalore,3,24,Female,No,2,0,"(20, 25]"
285,Masters,2017,New Delhi,2,27,Female,No,5,0,"(25, 30]"
286,Bachelors,2018,Bangalore,3,26,Male,No,4,1,"(25, 30]"
287,Bachelors,2012,Bangalore,3,26,Male,No,4,0,"(25, 30]"
288,Masters,2015,Pune,3,27,Female,No,5,1,"(25, 30]"
289,Bachelors,2018,Bangalore,3,26,Male,No,4,1,"(25, 30]"
290,Bachelors,2016,Bangalore,3,24,Male,No,2,0,"(20, 25]"
291,Masters,2017,New Delhi,2,25,Female,No,3,0,"(20, 25]"
292,Bachelors,2017,New Delhi,2,28,Male,No,1,0,"(25, 30]"
293,Bachelors,2012,New Delhi,3,27,Female,No,5,0,"(25, 30]"
294,Masters,2013,New Delhi,3,26,Male,No,4,1,"(25, 30]"
295,Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,"(25, 30]"
296,Bachelors,2014,Pune,3,28,Male,No,2,0,"(25, 30]"
297,Bachelors,2016,Bangalore,3,24,Female,No,2,1,"(20, 25]"
298,Bachelors,2012,Bangalore,3,28,Male,No,3,0,"(25, 30]"
299,Bachelors,2012,Bangalore,3,27,Male,No,5,0,"(25, 30]"
300,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
301,Bachelors,2014,New Delhi,3,28,Female,No,1,0,"(25, 30]"
302,Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,"(25, 30]"
303,Bachelors,2015,Pune,3,26,Female,Yes,4,1,"(25, 30]"
304,Masters,2014,New Delhi,3,26,Male,No,4,1,"(25, 30]"
305,PHD,2015,New Delhi,3,25,Female,No,3,0,"(20, 25]"
306,Masters,2015,New Delhi,3,25,Male,No,3,0,"(20, 25]"
307,Bachelors,2012,Pune,3,27,Male,No,5,0,"(25, 30]"
308,Masters,2017,New Delhi,2,24,Female,No,2,0,"(20, 25]"
309,Bachelors,2016,Bangalore,3,24,Male,No,2,0,"(20, 25]"
310,Masters,2015,Pune,3,28,Female,No,2,0,"(25, 30]"
311,Bachelors,2017,Bangalore,3,24,Female,No,2,0,"(20, 25]"
312,Bachelors,2017,Pune,3,25,Male,No,3,0,"(20, 25]"
313,Bachelors,2017,Bangalore,1,25,Male,No,3,0,"(20, 25]"
314,Masters,2015,Pune,3,28,Female,No,2,0,"(25, 30]"
315,Bachelors,2017,Pune,3,26,Male,No,4,0,"(25, 30]"
316,Bachelors,2014,Pune,3,24,Male,No,2,0,"(20, 25]"
317,Bachelors,2014,Pune,3,25,Female,No,3,1,"(20, 25]"
318,Bachelors,2018,Pune,3,26,Female,No,4,1,"(25, 30]"
319,Bachelors,2016,Bangalore,3,27,Male,No,5,0,"(25, 30]"
320,Bachelors,2017,Bangalore,3,28,Female,No,2,0,"(25, 30]"
321,Bachelors,2012,Pune,3,28,Male,No,2,0,"(25, 30]"
322,Masters,2012,New Delhi,3,24,Female,No,2,1,"(20, 25]"
323,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
324,Bachelors,2015,New Delhi,3,26,Female,Yes,4,0,"(25, 30]"
325,Bachelors,2017,Bangalore,3,28,Male,No,1,0,"(25, 30]"
326,Bachelors,2018,Pune,3,25,Male,Yes,3,1,"(20, 25]"
327,Masters,2017,New Delhi,3,24,Male,No,2,0,"(20, 25]"
328,Bachelors,2013,Bangalore,3,28,Male,No,2,1,"(25, 30]"
329,Bachelors,2017,Bangalore,3,24,Male,No,2,0,"(20, 25]"
330,Masters,2017,New Delhi,2,25,Female,No,3,1,"(20, 25]"
331,Bachelors,2013,Pune,2,28,Female,No,1,1,"(25, 30]"
332,Bachelors,2015,Bangalore,3,24,Female,No,2,0,"(20, 25]"
333,Bachelors,2016,Pune,3,26,Male,No,4,0,"(25, 30]"
334,Bachelors,2015,New Delhi,2,27,Female,No,5,1,"(25, 30]"
335,Bachelors,2018,Bangalore,3,24,Female,No,2,1,"(20, 25]"
336,Bachelors,2013,Bangalore,3,27,Female,No,5,0,"(25, 30]"
337,Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,"(20, 25]"
338,Bachelors,2013,Bangalore,3,24,Female,No,2,0,"(20, 25]"
339,Bachelors,2013,Bangalore,3,27,Male,No,5,0,"(25, 30]"
340,Bachelors,2017,Bangalore,3,26,Female,No,4,0,"(25, 30]"
341,Bachelors,2015,Bangalore,3,24,Female,No,2,0,"(20, 25]"
342,Bachelors,2012,Pune,3,24,Female,No,2,1,"(20, 25]"
343,Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,"(20, 25]"
344,Bachelors,2012,Bangalore,3,28,Male,No,3,0,"(25, 30]"
345,Bachelors,2017,New Delhi,2,27,Male,No,5,0,"(25, 30]"
346,Bachelors,2012,Pune,2,27,Female,No,5,1,"(25, 30]"
347,Masters,2017,Pune,2,27,Male,No,5,0,"(25, 30]"
348,Bachelors,2017,Pune,2,24,Male,No,2,1,"(20, 25]"
349,Bachelors,2016,Pune,1,26,Female,No,4,1,"(25, 30]"
350,Bachelors,2015,Pune,3,26,Female,No,4,1,"(25, 30]"
351,Bachelors,2016,Bangalore,3,25,Male,No,3,1,"(20, 25]"
352,Bachelors,2012,Pune,3,26,Male,No,4,0,"(25, 30]"
353,Bachelors,2017,Bangalore,3,28,Male,No,2,0,"(25, 30]"
354,Bachelors,2012,Bangalore,3,25,Male,No,3,0,"(20, 25]"
355,Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,"(20, 25]"
356,Masters,2017,Pune,2,26,Male,No,4,0,"(25, 30]"
357,Masters,2017,Pune,3,28,Male,No,1,1,"(25, 30]"
358,Masters,2015,Pune,2,25,Female,No,3,1,"(20, 25]"
359,Bachelors,2017,New Delhi,2,26,Female,No,4,0,"(25, 30]"
360,Bachelors,2017,New Delhi,2,26,Male,No,4,0,"(25, 30]"
361,Bachelors,2016,Bangalore,3,27,Male,No,5,0,"(25, 30]"
362,Bachelors,2017,New Delhi,3,27,Female,No,5,0,"(25, 30]"
363,Bachelors,2015,New Delhi,3,24,Female,No,2,0,"(20, 25]"
